id,stocknumber,symbol,companyname,price,timestamp,markettype
1,1,0005,HSBC HOLDINGS,108.10,2025-11-03 00:33:04,HK
2,2,0388,HKEX,423.60,2025-11-03 00:33:04,HK
3,3,0066,MTR CORPORATION,28.50,2025-11-03 00:33:04,HK
4,4,0011,HANG SENG BANK,151.60,2025-11-03 00:33:05,HK
5,5,1810,XIAOMI-W,43.20,2025-11-03 00:33:05,HK
6,6,1099,SINOPHARM,19.37,2025-11-03 00:33:05,HK
7,7,0762,CHINA UNICOM,9.35,2025-11-03 00:33:06,HK
8,8,0939,CCB,7.70,2025-11-03 00:33:06,HK
9,9,9988,BABA-W,165.10,2025-11-03 00:33:06,HK
10,10,9888,BIDU-SW,117.60,2025-11-03 00:33:07,HK
11,11,3988,BANK OF CHINA,4.40,2025-11-03 00:33:07,HK
12,12,2628,CHINA LIFE,24.52,2025-11-03 00:33:07,HK
13,13,2388,BOC HONG KONG,38.18,2025-11-03 00:33:07,HK
14,14,1398,ICBC,6.02,2025-11-03 00:33:08,HK
15,15,0998,CITIC BANK,7.20,2025-11-03 00:33:08,HK
16,16,0684,ALLAN INT'L,0.55,2025-11-03 00:33:08,HK
17,17,0001,CKH HOLDINGS,51.50,2025-11-03 00:33:09,HK
18,18,TSLA,"Tesla, Inc.",456.56,2025-11-03 00:33:09,US
19,19,AAPL,Apple Inc.,270.37,2025-11-03 00:33:09,US
20,20,NVDA,NVIDIA Corporation,202.49,2025-11-03 00:33:10,US
21,21,CRCL,"Circle Internet Group, Inc.",126.98,2025-11-03 00:33:10,US
22,1,0005,HSBC HOLDINGS,108.10,2025-11-03 00:43:49,HK
23,1,0005,HSBC HOLDINGS,108.10,2025-11-03 00:56:33,HK
24,2,0388,HKEX,423.60,2025-11-03 00:56:33,HK
25,3,0066,MTR CORPORATION,28.50,2025-11-03 00:56:33,HK
26,4,0011,HANG SENG BANK,151.60,2025-11-03 00:56:34,HK
27,5,1810,XIAOMI-W,43.20,2025-11-03 00:56:34,HK
28,6,1099,SINOPHARM,19.37,2025-11-03 00:56:34,HK
29,7,0762,CHINA UNICOM,9.35,2025-11-03 00:56:35,HK
30,8,0939,CCB,7.70,2025-11-03 00:56:35,HK
31,9,9988,BABA-W,165.10,2025-11-03 00:56:35,HK
32,10,9888,BIDU-SW,117.60,2025-11-03 00:56:35,HK
33,11,3988,BANK OF CHINA,4.40,2025-11-03 00:56:36,HK
34,12,2628,CHINA LIFE,24.52,2025-11-03 00:56:36,HK
35,13,2388,BOC HONG KONG,38.18,2025-11-03 00:56:36,HK
36,14,1398,ICBC,6.02,2025-11-03 00:56:37,HK
37,15,0998,CITIC BANK,7.20,2025-11-03 00:56:37,HK
38,16,0684,ALLAN INT'L,0.55,2025-11-03 00:56:37,HK
39,17,0001,CKH HOLDINGS,51.50,2025-11-03 00:56:38,HK
40,18,TSLA,"Tesla, Inc.",456.56,2025-11-03 00:56:38,US
41,19,AAPL,Apple Inc.,270.37,2025-11-03 00:56:38,US
42,20,NVDA,NVIDIA Corporation,202.49,2025-11-03 00:56:39,US
43,21,CRCL,"Circle Internet Group, Inc.",126.98,2025-11-03 00:56:39,US
44,1,0005,HSBC HOLDINGS,108.10,2025-11-03 01:02:47,HK
45,2,0388,HKEX,423.60,2025-11-03 01:02:47,HK
46,3,0066,MTR CORPORATION,28.50,2025-11-03 01:02:48,HK
47,4,0011,HANG SENG BANK,151.60,2025-11-03 01:02:48,HK
48,5,1810,XIAOMI-W,43.20,2025-11-03 01:02:48,HK
49,6,1099,SINOPHARM,19.37,2025-11-03 01:02:49,HK
50,7,0762,CHINA UNICOM,9.35,2025-11-03 01:02:49,HK
51,8,0939,CCB,7.70,2025-11-03 01:02:49,HK
52,9,9988,BABA-W,165.10,2025-11-03 01:02:50,HK
53,10,9888,BIDU-SW,117.60,2025-11-03 01:02:50,HK
54,11,3988,BANK OF CHINA,4.40,2025-11-03 01:02:50,HK
55,12,2628,CHINA LIFE,24.52,2025-11-03 01:02:51,HK
56,13,2388,BOC HONG KONG,38.18,2025-11-03 01:02:51,HK
57,14,1398,ICBC,6.02,2025-11-03 01:02:51,HK
58,15,0998,CITIC BANK,7.20,2025-11-03 01:02:52,HK
59,16,0684,ALLAN INT'L,0.55,2025-11-03 01:02:52,HK
60,17,0001,CKH HOLDINGS,51.50,2025-11-03 01:02:52,HK
61,18,TSLA,"Tesla, Inc.",456.56,2025-11-03 01:02:53,US
62,19,AAPL,Apple Inc.,270.37,2025-11-03 01:02:53,US
63,20,NVDA,NVIDIA Corporation,202.49,2025-11-03 01:02:53,US
64,21,CRCL,"Circle Internet Group, Inc.",126.98,2025-11-03 01:02:53,US
